
Willem Modise,11-14,15,8,13,14-17,8,10,4-7,6-9,11,5-8,3-7,16,13,10-13,7-10,10-13,9-12,7-11,17,16,1-4,14,6-9,4-8,11,11,17,14-17,16-19,15,13-17,13,11,10
Rafał Żewłakow,7-9,10-13,9,15,9-12,8,15,4-6,9-11,17,9-12,11,13,8,13-16,4-7,13-15,8-10,14-16,17,9,14,10-13,9-12,11,14,13,14,11-14,12-15,17,8-10,11,14,14
Kevin Bonifazi,1-5,6-9,10-13,7-10,8-11,13,5-8,11-14,13,10-14,1-3,15,10-13,12-16,11-14,14-17,12-15,9-13,12-15,14-17,8-12,10-14,4-7,13-16,11-15,8-12,11-14,14-18,10-13,14-17,15,13-17,12-16,11-14,13-16
Hugo Vetlesen,8-12,14-17,8-12,14,10-14,6-9,10-13,1-5,8-12,15,8-11,7,13-16,9-12,16-19,5-9,10-14,13-17,12-15,11-15,14-18,7-10,16-19,11-15,12-15,14-17,13-16,12-15,15-18,10-14,5-9,11-14,13-16,15-18,11
Adalberto Peñaranda,7-11,14-17,10-14,15-18,9-13,10,9-12,2-5,1-4,9-12,9-12,2-6,12-15,10-13,12-15,6-10,13-16,9-13,8-11,13-16,12-16,3-6,14-17,3-7,11-15,12-16,9-12,16,14-17,8-12,11,12-15,15,6-9,12-15
Jota,13-16,14-17,12-15,12-15,11-14,8,10-14,3-6,5-8,11-15,9-12,4-8,15-19,9-13,7-10,10-13,11-14,8-11,9-13,8-11,18-20,8-12,11-14,5-8,5-9,10-14,11-15,12,12-15,7-10,7,11-15,13,12-16,4-7
Valentino Lazaro,11-15,13-16,8-12,11-15,10-14,8,9-12,5-9,9,10-13,9-12,11,14-17,10-13,12-15,6-10,7-11,8-12,11-14,8-12,14-18,5-8,13-16,9-13,10-13,11-14,11-14,11-14,15-18,9-13,9,10-13,10-13,11-14,6-10
Zhou Liming,6-9,10-13,16,14,10-13,9,10-14,3-6,5-8,9,9-12,1-4,17,11-15,14-17,6-9,11-14,8-11,13-17,14-17,16-19,9-13,13-16,8-11,7-11,9-13,12-16,12,11-14,15-18,5,11-15,12,11-15,14
Romain Perraud,8-12,12-15,5-9,11-15,10-14,7,14-17,5-9,10,9-12,10-13,12,12-15,7-10,14-17,12-16,9-13,13-17,12-15,11-15,11-15,7-10,14-17,10-14,11-14,9-12,13-16,11-14,15-18,13-17,6,11-14,11-14,13-16,8-12
Jordan Teze,6-9,9-12,9-12,10-13,1-4,12,7-11,9-12,12,11-15,6-9,13,11-15,11-15,10-13,11-14,10-13,14-17,12-16,10-13,11-14,6-10,11-14,13-16,9-13,9-13,12-16,12-16,14-17,13-16,13,13-17,11-15,13-17,8-11
Christian Kouan,4-8,12-15,11-15,10,3-7,7-10,9-12,5-9,11-15,13,5-8,12,10-13,13-16,15-18,13-17,10-14,10-14,12-15,11-15,11-15,8-11,15-18,11-15,10-13,11-14,14-17,11-14,14-17,13-17,8-12,14-17,12-15,14-17,14
Jannik Huth,3-7,3-6,1-4,8-12,4-8,4-7,2-5,1-4,2-6,8-11,5-8,1-2,8-11,7-10,14-17,10-14,13-17,11-15,11-14,10-14,1-4,5-8,3-6,6-10,12-15,6-9,11-14,9-12,11-14,11-15,13-17,12-15,7-10,9-12,10-14
