Date,Client/Category/Study,Hours,Percentage,Time Range
2023-12-10,Angelini - Study - Drifter,0.70,30.33,23:50-00:32
2023-12-10,Total,2.30,100.00,

2023-12-11,Angelini - BD,1.83,23.75,08:24-10:13
2023-12-11,IVS - Admin,1.82,23.64,14:11-16:00
2023-12-11,Encoded - Study - Glys,1.77,23.02,16:00-17:46
2023-12-11,Ataraxia - BD,1.29,16.79,11:56-13:14
2023-12-11,Sensorium - Study - Kalak,0.98,12.80,10:31-11:30
2023-12-11,Total,7.68,100.00,

2023-12-12,IVS - Admin,6.87,73.05,"00:15-00:35, 00:48-01:01, 08:45-09:30, 09:30-10:30, 11:22-13:15, 16:45-17:27, 19:45-20:47, 20:58-21:35, 23:53-00:13"
2023-12-12,Angelini - Study - Drifter,1.25,13.30,13:15-14:30
2023-12-12,IVS - BD,0.78,8.33,15:00-15:47
2023-12-12,Encoded - Study - Glys,0.50,5.32,14:30-15:00
2023-12-12,Total,9.40,100.00,

2023-12-13,IVS - Admin,4.65,79.44,"10:02-11:00, 11:00-12:15, 13:00-14:27, 16:49-17:21, 22:26-22:52"
2023-12-13,IVS - BD,0.75,12.82,12:15-13:00
2023-12-13,Sensorium - Study - Kalak,0.45,7.74,17:47-18:15
2023-12-13,Total,5.85,100.00,

2023-12-14,IVS - Admin,2.96,58.10,"10:30-12:30, 17:14-17:41, 23:29-23:59"
2023-12-14,Sensorium - Study - Kalak,2.13,41.90,"12:30-13:20, 13:47-14:25, 15:06-15:36, 17:00-17:08"
2023-12-14,Total,5.09,100.00,

2023-12-15,Angelini - Study - Drifter,3.00,38.68,09:15-12:15
2023-12-15,Xenon - Study - Elend,2.83,36.53,12:55-15:45
2023-12-15,IVS - Admin,1.92,24.79,"00:00-00:27, 15:45-17:13"
2023-12-15,Total,7.76,100.00,

2023-12-17,BHVN - Study - Vandell,1.22,64.65,11:45-12:59
2023-12-17,Ataraxia - BD,0.67,35.35,13:00-13:40
2023-12-17,Total,1.89,100.00,

2023-12-18,Xenon - Study - Elend,6.41,72.03,"10:30-13:09, 13:56-17:07, 23:25-23:59"
2023-12-18,IVS - Admin,0.66,7.37,17:07-17:46
2023-12-18,Selene - BD,0.63,7.05,09:30-10:07
2023-12-18,JW - BD,0.46,5.19,00:45-01:13
2023-12-18,Ataraxia - BD,0.37,4.20,10:07-10:30
2023-12-18,BHVN - Study - Vandell,0.37,4.16,00:23-00:45
2023-12-18,Total,8.89,100.00,

2023-12-19,Xenon - Study - Elend,2.68,40.38,"13:15-15:02, 17:30-17:51, 23:46-00:19"
2023-12-19,IVS - BD,2.00,30.10,10:45-12:45
2023-12-19,IVS - Admin,1.96,29.52,"15:02-16:15, 16:45-17:30"
2023-12-19,Total,6.64,100.00,

2023-12-20,BHVN - Study - Wyrm,3.50,72.66,09:45-13:15
2023-12-20,IVS - Admin,1.32,27.34,13:15-14:34
2023-12-20,Total,4.82,100.00,

2023-12-21,IVS - Admin,1.15,100.00,12:06-13:15
2023-12-21,Total,1.15,100.00,

2023-12-22,Ataraxia - BD,0.47,55.46,10:47-11:15
2023-12-22,Ataraxia - Study - Gahlran,0.37,44.54,12:44-13:07
2023-12-22,Total,0.84,100.00,

2023-12-26,IVS - BD,2.27,100.00,"10:48-11:52, 16:03-17:15"
2023-12-26,Total,2.27,100.00,

2023-12-28,IVS - Admin,0.84,100.00,13:03-13:54
2023-12-28,Total,0.84,100.00,

2023-12-30,IVS - Admin,0.22,100.00,10:35-10:48
2023-12-30,Total,0.22,100.00,

2023-12-31,IVS - Admin,0.88,100.00,12:23-13:16
2023-12-31,Total,0.88,100.00,

