Date,Client/Category/Study,Hours,Percentage,Time Range
2024-01-16,BHVN - Study -Sylphrena,1.01,11.42,07:29-08:30
2024-01-16,BHVN - Study -,1.00,11.28,11:30-12:30
2024-01-16,Jazz - BD,0.75,8.46,10:00-10:45
2024-01-16,BHVN - Study - Ulric,0.75,8.46,10:45-11:30
2024-01-16,BHVN - Study - Yasteel,0.50,5.64,16:55-17:25
2024-01-16,Angelini - Study - Drifter,0.44,4.95,12:30-12:56
2024-01-16,Total,8.87,100.00,

2024-01-17,IVS - Admin,2.98,33.94,"09:45-10:57, 10:57-12:44"
2024-01-17,Sensorium - Study - Kalak,2.55,29.04,12:44-15:17
2024-01-17,IVS - BD,2.37,27.00,"15:17-16:45, 22:27-23:21"
2024-01-17,Pandeia - Study - Diogenes,0.88,10.03,16:45-17:37
2024-01-17,Total,8.78,100.00,

2024-01-18,IVS - Admin,3.71,41.39,"09:57-10:45, 12:36-12:58, 12:58-15:30"
2024-01-18,Ataraxia - Study - Gahlran,2.10,23.45,"00:01-00:25, 15:30-17:12"
2024-01-18,BHVN - Study - Xavier,1.56,17.42,"11:30-12:15, 18:04-18:26, 19:35-20:01"
2024-01-18,Encoded - BD,0.50,5.58,11:00-11:30
2024-01-18,Pandeia - Study -,0.49,5.47,00:25-00:54
2024-01-18,IVS - BD,0.35,3.91,12:15-12:36
2024-01-18,Angelini - Study - Drifter,0.25,2.79,10:45-11:00
2024-01-18,Total,8.96,100.00,

2024-01-19,IVS - Admin,2.92,40.79,"11:15-12:25, 15:50-17:35"
2024-01-19,Angelini - Study - Drifter,1.58,22.14,09:40-11:15
2024-01-19,Jazz - BD,1.08,15.15,13:40-14:45
2024-01-19,Axonis - BD,1.08,15.15,14:45-15:50
2024-01-19,IVS - BD,0.48,6.77,13:10-13:39
2024-01-19,Total,7.15,100.00,

2024-01-20,BHVN - Study - Wyrm,1.78,100.00,23:54-01:41
2024-01-20,Total,1.78,100.00,

2024-01-21,BHVN - Study - Yesteel,1.97,73.11,"10:30-11:49, 12:02-12:18, 13:38-13:57, 15:00-15:04"
2024-01-21,BHVN - Study - Xavier,0.72,26.89,13:57-14:40
2024-01-21,Total,2.70,100.00,

2024-01-22,IVS - Admin,2.23,60.88,11:00-13:13
2024-01-22,BHVN - Study - Yasteel,0.93,25.47,14:29-15:25
2024-01-22,Roche - BD,0.50,13.65,10:30-11:00
2024-01-22,Total,3.66,100.00,

2024-01-23,IVS - Admin,3.04,46.38,"11:27-11:53, 11:54-14:30"
2024-01-23,BHVN - Study - Wyrm,2.13,32.53,14:30-16:38
2024-01-23,IVS - BD,1.38,21.09,08:56-10:18
2024-01-23,Total,6.56,100.00,

2024-01-24,Sensorium - Study - Kalak,2.01,32.27,13:55-15:55
2024-01-24,Jazz - Study - Hawkmoon,1.80,28.95,08:12-10:00
2024-01-24,BHVN - Study -,1.40,22.48,"00:09-00:52, 22:07-22:29, 23:19-23:38"
2024-01-24,Axonis - BD,0.61,9.86,11:59-12:36
2024-01-24,Jazz - BD,0.40,6.43,10:15-10:39
2024-01-24,Total,6.22,100.00,

2024-01-25,Synendos - BD,1.70,37.43,"09:50-11:07, 14:09-14:33"
2024-01-25,Roche - BD,1.36,29.89,"11:30-12:30, 14:33-14:55"
2024-01-25,Angelini - Study - Drifter,0.97,21.32,"09:31-09:50, 13:30-14:09"
2024-01-25,IVS - Admin,0.38,8.43,11:07-11:30
2024-01-25,IVS - Scientific,0.13,2.93,14:55-15:03
2024-01-25,Total,4.55,100.00,

2024-01-26,IVS - Admin,4.05,59.21,"10:11-12:43, 15:31-16:41, 17:28-17:49"
2024-01-26,Axonis - Study - Drehy,2.79,40.79,12:43-15:31
2024-01-26,Total,6.84,100.00,

2024-01-27,Roche - BD,0.53,100.00,11:29-12:00
2024-01-27,Total,0.53,100.00,

2024-01-28,IVS - BD,0.22,100.00,14:52-15:06
2024-01-28,Total,0.22,100.00,

2024-01-29,IVS - Admin,4.03,52.94,"10:25-11:45, 13:47-15:15, 15:30-16:10, 17:02-17:36"
2024-01-29,Roche - BD,1.62,21.33,12:09-13:46
2024-01-29,Angelini - Study - Drifter,1.15,15.08,"15:15-15:30, 21:09-22:02"
2024-01-29,Pandeia - Study - Diogenes,0.59,7.79,22:39-23:14
2024-01-29,Encoded - Study -,0.22,2.87,23:14-23:28
2024-01-29,Total,7.61,100.00,

2024-01-30,IVS - Admin,3.79,49.30,"09:50-10:34, 13:00-14:00, 14:15-16:15, 17:48-17:51"
2024-01-30,Angelini - BD,1.83,23.80,10:45-12:34
2024-01-30,BHVN - Study - Taldain,1.01,13.18,22:59-00:00
2024-01-30,Axonis - BD,0.43,5.64,12:34-13:00
2024-01-30,Synendos - BD,0.37,4.83,17:00-17:22
2024-01-30,BHVN - Study - Yesteel,0.25,3.25,14:00-14:15
2024-01-30,Total,7.68,100.00,

2024-01-31,IVS - Admin,2.77,29.65,"09:20-10:00, 13:30-15:36"
2024-01-31,BHVN - Study - Zellion,1.28,13.75,00:01-01:18
2024-01-31,Roche - BD,1.25,13.40,11:00-12:15
2024-01-31,BHVN - Study -,1.16,12.47,16:12-17:22
2024-01-31,BHVN - BD,1.00,10.72,10:00-11:00
2024-01-31,Angelini - BD,1.00,10.72,12:15-13:15
2024-01-31,Axonis - Study - Drehy,0.87,9.29,22:53-23:45
2024-01-31,Total,9.33,100.00,

